Player,Team,POS,BA,OBP,SLG,OPS,GP,PA,AB,R,H,2B,3B,HR,RBI,HBP,BB,K,SB,CS
Alexis Ross,Michigan State,CF,.245,.293,.265,.558,51,160,147,15,36,1,1,0,7,0,10,22,19,2
Angela Zedak,Northwestern,LF,.313,.419,.556,.974,48,174,144,33,45,8,0,9,29,4,23,24,6,0
Brooke Andrews,Nebraska,CF,.290,.356,.401,.757,52,186,162,39,47,13,1,1,26,3,14,32,5,0
Cora Bassett,Indiana,RF,.269,.385,.473,.858,60,219,182,42,49,8,1,9,26,7,28,15,12,5
Delanie Cox,Minnesota,1B,.279,.391,.360,.751,44,137,111,19,31,7,1,0,13,1,20,16,1,0
Diamond Williams,Maryland,1B,.331,.400,.629,1.029,54,195,175,28,58,8,1,14,40,1,19,32,1,0
Fiona Girardot,Wisconsin,1B,.248,.399,.413,.812,51,155,121,14,30,6,1,4,18,9,22,22,0,0
Gaby Garcia,Penn State,C,.340,.444,.627,1.071,53,184,150,29,51,10,0,11,41,9,20,24,0,1
Jenae Wash,Michigan State,LF,.209,.328,.327,.656,44,132,110,12,23,4,0,3,11,11,9,32,1,0
Kaitlyn Morrison,Penn State,SS,.329,.415,.614,1.029,53,191,158,38,52,18,6,5,27,6,20,27,9,2
Katie Wingert,Rutgers,C,.271,.404,.581,.985,55,197,155,27,42,9,0,13,46,8,28,27,1,1
Kelly Ryono,Illinois,RF,.348,.395,.614,1.009,52,202,184,37,64,17,1,10,32,4,11,29,10,3
LA Matthews,Rutgers,1B,.306,.359,.426,.785,55,207,183,34,56,13,3,1,37,0,15,17,4,0
Mazie Macfarlane,Maryland,RF,.338,.449,.517,.967,53,179,145,28,49,9,1,5,25,2,29,24,7,3
Morgan DeBord,Minnesota,CF,.352,.414,.490,.903,53,173,145,36,51,9,1,3,28,1,15,15,5,3
Payton Lincavage,Rutgers,3B,.277,.369,.500,.869,54,195,166,38,46,7,3,8,27,8,18,17,6,2
Sam Hackenbracht,Ohio State,1B,.212,.276,.462,.738,50,145,132,24,28,4,1,9,33,2,10,18,1,0
Serena Starks,Illinois,CF,.260,.314,.299,.613,49,141,127,29,33,3,1,0,6,0,10,17,4,2
Sydney Strelow,Minnesota,2B,.307,.433,.491,.924,53,202,163,35,50,11,2,5,37,2,35,17,1,0
Tegan Cortelletti,Ohio State,LF,.391,.448,.474,.923,47,178,156,37,61,6,2,1,18,3,14,12,15,5
Billie Andrews,Nebraska,SS,.383,.460,.771,1.231,49,200,175,55,67,10,2,18,45,4,21,20,15,2
Sydney Gray,Nebraska,3B,.286,.361,.565,.927,53,192,168,31,48,11,0,12,41,1,20,23,2,2
Caitlynn Neal,Nebraska,RF,.231,.298,.333,.631,45,125,108,23,25,5,0,2,17,3,8,11,0,1
Megan Ward,Illinois,SS,.323,.345,.379,.724,52,173,161,31,52,7,1,0,20,1,5,19,3,2
Abby Ryniec,Illinois,DP,.336,.422,.414,.837,51,163,140,10,47,6,1,1,29,5,16,24,1,0
Brooke Benson,Indiana,SS,.303,.362,.510,.872,60,182,155,45,47,12,1,6,27,4,12,19,11,2
Sammy Diaz,Iowa,1B,.218,.271,.261,.532,46,157,142,9,31,4,1,0,21,0,11,23,3,0
Grace Banes,Iowa,CF,.255,.353,.362,.715,46,169,141,26,36,6,0,3,18,6,17,12,1,1
Morgan Smith,Rutgers,CF,.406,.481,.871,1.351,55,208,170,50,69,14,4,19,68,1,29,14,6,0
Michaela Jones,Maryland,3B,.280,.377,.467,.844,54,177,150,29,42,9,2,5,23,7,17,25,2,1
Jaeda McFarland,Maryland,CF,.356,.413,.617,1.030,54,202,180,41,64,13,8,6,39,8,11,23,20,2
Megan Mikami,Maryland,LF,.292,.378,.369,.747,52,195,168,32,49,5,4,0,9,12,12,18,15,4
Keke Tholl,Michigan,1B,.263,.387,.593,.980,60,204,167,25,44,5,1,16,45,4,31,16,0,1
Maddy Ehlke,Minnesota,DP,.209,.313,.273,.585,50,130,110,11,23,4,0,1,23,2,15,16,0,0
Emmy Wells,Wisconsin,C,.203,.329,.514,.844,52,170,138,17,28,1,0,14,33,1,26,39,1,0
Hannah Cady,Northwestern,3B,.215,.353,.348,.701,48,170,135,25,29,6,0,4,30,12,19,21,4,0
McKenzie Bump,Ohio State,3B,.336,.419,.486,.904,51,162,140,35,47,6,0,5,24,10,10,13,7,0
Taylor Heckman,Ohio State,RF,.326,.440,.496,.936,47,168,129,28,42,7,0,5,27,3,25,24,2,0
Destinee Noury,Ohio State,1B,.253,.387,.460,.847,40,108,87,10,22,3,0,5,16,5,14,29,0,0
Kirsten Eppele,Ohio State,CF,.269,.356,.608,.963,48,151,130,35,35,5,3,11,37,2,16,30,4,1
Emily Maddock,Penn State,3B,.297,.330,.394,.724,55,190,175,23,52,9,4,0,10,3,6,6,2,2
Liana Jones,Penn State,CF,.295,.394,.611,1.005,55,180,149,31,44,12,4,9,41,4,21,36,12,3
Kiara Dillon,Purdue,CF,.222,.369,.283,.652,48,127,99,22,22,2,2,0,6,3,20,32,11,3
Kayla Bock,Rutgers,DP,.266,.333,.391,.724,54,141,128,19,34,5,1,3,28,4,9,26,1,0
Leilani Chavez,Rutgers,RF,.256,.324,.279,.603,53,145,129,21,33,3,0,0,6,2,11,15,4,1
Jillian Anderson,Rutgers,LF,.284,.376,.328,.704,54,161,134,25,38,3,0,1,12,3,18,25,3,1
Kyleigh Sand,Rutgers,SS,.418,.502,.543,1.046,55,224,184,62,77,9,4,2,27,2,33,9,14,5
Peyton Bannon,Wisconsin,CF,.248,.301,.421,.722,52,152,133,23,33,7,2,4,18,4,7,21,14,2
Collette Allen,Michigan State,2B,.193,.318,.303,.621,48,133,109,13,21,6,0,2,8,5,15,36,2,0
Ava Bredwell,Nebraska,C,.327,.444,.626,1.070,51,183,147,31,48,14,3,8,29,10,22,24,1,1
Taylor Krapf,Minnesota,C,.309,.423,.599,1.022,53,201,162,24,50,14,0,11,52,12,23,15,1,1
Stevie Meade,Illinois,LF,.296,.410,.428,.837,52,194,152,34,45,8,0,4,17,5,25,16,4,1
Paige Berkmeyer,Illinois,C,.313,.423,.500,.923,52,176,144,18,45,6,0,7,37,7,22,20,2,0
Taylor Minnick,Indiana,LF,.351,.455,.595,1.050,60,224,185,32,65,13,1,10,52,4,32,19,3,1
Brianna Copeland,Indiana,P,.320,.416,.505,.921,60,231,194,52,62,10,1,8,36,6,28,24,16,3
Ellie Sieler,Michigan,LF,.341,.421,.516,.938,61,225,182,47,62,10,2,6,18,4,22,9,4,3
Ella McVey,Michigan,SS,.313,.378,.328,.706,57,152,128,23,40,2,0,0,11,3,11,15,1,0
Macy Lee,Michigan State,C,.250,.325,.285,.610,50,166,144,10,36,2,0,1,17,2,16,21,1,0
Nani Valencia,Minnesota,RF,.282,.326,.444,.769,47,135,124,16,35,9,1,3,21,0,9,22,1,0
Kayla Chavez,Minnesota,3B,.292,.362,.443,.806,53,209,185,34,54,8,1,6,29,4,17,15,2,0
Ayana Lindsey,Northwestern,CF,.230,.362,.327,.690,48,139,113,24,26,5,3,0,16,5,19,23,5,2
Kaitlyn Farley,Ohio State,2B,.300,.406,.400,.806,51,165,140,30,42,3,1,3,21,2,23,18,2,0
Kami Kortokrax,Ohio State,SS,.312,.374,.631,1.004,50,174,157,31,49,12,1,12,42,1,15,19,0,0
Maddie Gordon,Penn State,2B,.335,.374,.654,1.028,55,197,179,47,60,16,1,13,41,1,12,28,13,1
Haylie Brunson,Penn State,RF,.247,.321,.452,.773,55,188,166,26,41,14,1,6,34,2,17,26,1,0
Tyrina Jones,Purdue,SS,.239,.298,.429,.727,51,178,163,22,39,8,4,5,24,3,11,27,8,1
Maddie Lawson,Rutgers,2B,.216,.325,.252,.577,55,168,139,29,30,5,0,0,21,12,12,11,5,0
Brooke Kuffel,Wisconsin,RF,.238,.327,.469,.796,51,152,130,15,31,3,0,9,24,7,11,32,0,0
Ellie Hubbard,Wisconsin,2B,.221,.328,.356,.684,47,131,104,12,23,6,1,2,11,1,16,34,0,0
Rylie Moss,Iowa,RF,.387,.412,.403,.815,39,134,124,21,48,2,0,0,8,0,6,18,5,0
Sarah Stone,Indiana,1B,.307,.402,.542,.944,60,210,179,28,55,10,1,10,47,2,27,13,3,0
Katelyn Caneda,Nebraska,2B,.266,.342,.336,.678,48,150,128,18,34,6,0,1,21,1,15,17,1,1
Maddie Erickson,Michigan,3B,.352,.381,.613,.994,61,212,199,27,70,16,0,12,48,3,7,14,0,0
Lilly Vallimont,Michigan,C,.224,.325,.376,.701,61,200,170,29,38,8,0,6,34,5,22,23,0,0
Indiana Langford,Michigan,2B,.283,.377,.303,.680,55,184,152,36,43,0,0,1,13,2,21,21,16,5
Sydney Malott,Illinois,2B,.283,.390,.386,.775,49,157,127,19,36,7,0,2,24,1,23,30,0,0
Sydney Lewis,Maryland,DP,.279,.372,.416,.787,54,184,154,7,43,9,0,4,41,5,20,27,0,1
Sammi Woods,Maryland,SS,.196,.268,.238,.505,52,159,143,15,28,6,0,0,10,2,12,21,1,1
Sydney Doloszycki,Michigan State,RF,.238,.288,.469,.756,48,158,143,19,34,3,3,8,21,1,9,27,2,0
Britain Beshears,Michigan State,1B,.272,.353,.626,.979,51,167,147,22,40,5,1,15,40,4,15,31,2,1
Bridget Donahey,Northwestern,SS,.268,.450,.545,.994,48,153,112,32,30,5,1,8,23,5,32,35,8,1
Kelsey Nader,Northwestern,RF,.375,.430,.586,1.016,47,174,152,41,57,8,0,8,32,2,15,11,9,2
Kansas Robinson,Northwestern,2B,.383,.486,.705,1.191,48,183,149,36,57,11,2,11,36,2,30,19,5,3
Hannah Church,Ohio State,C,.266,.384,.489,.873,41,112,94,13,25,5,2,4,24,2,16,20,0,0
Sage Scarmardo,Purdue,3B,.309,.440,.353,.793,51,178,139,28,43,4,1,0,20,19,15,22,7,1
Khloe Banks,Purdue,RF,.345,.425,.441,.867,50,171,145,35,50,9,1,1,18,0,21,27,24,4
Bella Bacon,Nebraska,1B,.285,.358,.319,.677,48,166,144,26,41,5,0,0,19,9,9,16,0,0
Ava Kuszak,Wisconsin,SS,.312,.371,.592,.964,52,179,157,31,49,15,1,9,33,1,15,38,6,3
Hannah Hawley,Michigan State,3B,.349,.462,.664,1.126,50,182,149,30,52,11,0,12,25,7,25,23,2,2
Avery Parker,Indiana,C,.313,.397,.592,.989,60,204,179,34,56,11,0,13,45,8,17,16,6,3
Tory Bennett,Iowa,2B,.274,.358,.325,.683,42,137,117,17,32,6,0,0,13,4,12,8,1,1
Breezy Burnett,Minnesota,LF,.234,.320,.297,.617,53,153,128,27,30,5,0,1,12,2,15,28,13,0
Addison Leschber,Minnesota,RF,.207,.323,.369,.692,47,131,111,12,23,9,0,3,13,3,16,13,1,2
Jess Oakland,Minnesota,SS,.446,.559,.917,1.475,53,213,168,70,75,19,0,20,58,0,44,16,3,1
Samantha Bland,Nebraska,LF,.286,.355,.476,.831,52,187,168,31,48,14,0,6,36,3,15,15,4,1
Adisyn Caryl,Illinois,3B,.335,.398,.419,.817,52,178,155,26,52,10,0,1,25,5,13,14,0,2
Eileen Donahue,Illinois,1B,.221,.296,.274,.570,44,110,95,9,21,2,0,1,14,3,8,15,1,0
Hilary Blomberg,Wisconsin,DP,.365,.401,.613,1.014,50,151,137,10,50,13,0,7,36,3,6,16,0,0
Alivia Bark,Wisconsin,LF,.279,.329,.441,.770,49,156,136,28,38,11,1,3,22,1,11,19,6,0
Aly VanBrandt,Indiana,2B,.369,.412,.431,.844,55,182,160,33,59,4,3,0,17,2,12,10,12,5
Alex Cooper,Indiana,3B,.276,.381,.500,.881,59,182,152,31,42,6,2,8,36,2,25,33,10,2
Soo-Jin Berry,Iowa,3B,.322,.362,.458,.820,36,127,118,23,38,7,3,1,26,1,7,14,5,1
Jena Young,Iowa,2B,.373,.455,.542,.997,46,171,142,24,53,6,3,4,18,3,19,5,6,1
Delaney Reefe,Maryland,C,.214,.266,.336,.602,50,143,131,9,28,5,1,3,20,2,8,22,0,1
Jenissa Conway,Michigan,CF,.236,.387,.510,.896,61,200,157,47,37,8,4,9,30,4,36,41,13,3
Ella Stephenson,Michigan,RF,.267,.321,.442,.763,59,189,172,26,46,12,3,4,38,1,13,24,1,0
Jazzy Burns,Ohio State,C,.298,.382,.503,.885,51,187,161,20,48,6,0,9,37,4,19,30,0,0
Ashlynn Campbell,Purdue,2B,.307,.376,.321,.697,49,158,140,18,43,2,0,0,15,0,16,23,6,0
Moriah Polar,Purdue,LF,.297,.383,.467,.850,52,195,165,31,49,8,7,2,25,2,23,40,18,6
Isabel Cunnea,Northwestern,DP,.213,.315,.389,.703,47,125,108,16,23,4,0,5,19,8,8,21,1,0
Emma Raye,Northwestern,C,.226,.354,.467,.821,48,164,137,24,31,3,0,10,32,6,21,31,3,0
Ainsley Muno,Northwestern,1B,.250,.374,.386,.760,42,113,88,8,22,3,0,3,12,9,9,26,0,0
Gianna Poletti,Penn State,1B,.235,.311,.272,.583,42,96,81,11,19,3,0,0,8,0,9,21,2,1
